County/Sub County,Farming,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton
KALAMA,"11,334","10,522",764,-    457,"9,915","3,801","1,891",,"1,015","2,476",146,501,387,,293,235,"1,188",213,,
KANGUNDO,"23,045","22,225",841,-680,"21,492","12,572","7,126",,"1,198","12,735",400,"2,108","1,225",,204,307,"5,628","1,212",,
KATHIANI,"24,578","22,949",587,"-    4,271","21,996","8,863","4,515",,"1,385","11,005","1,432","2,360",580,,168,196,"6,408","2,216",,
MACHAKOS,"26,753","24,221",654,"-    4,625","23,140","8,216","4,745",,"1,663","8,841","1,002","2,399","1,467",,207,387,"6,237","1,466",,
MASINGA,"30,328","27,568","6,838",-    516,"22,682","4,641","3,705",,"15,211","3,725",249,"1,289",517,,"1,295",900,"3,138",593,,
MATUNGULU,"29,763","26,874","1,154",-822,"25,219","9,598","5,002",,"2,807","8,993",621,"2,519","1,678",,230,481,"5,040","1,124",,
MWALA,"39,928","38,432","5,503",-    245,"35,847","7,415","5,567",,"16,227","7,045",396,"1,804",872,,"1,025",843,"4,492",484,,
YATTA,"32,541","29,903","5,108",-    287,"26,521","3,889","3,452",,"15,119","4,037",407,"2,031",918,,818,821,"4,860",990,,
MAKUENI,"193,531","176,503","34,867","-    12,328","137,972","45,628","29,899",,"69,800","49,487","6,382","12,906","6,773",,"6,607","5,887","33,585","12,286","1,564",
KATHONZWENI,"15,666","13,792","5,465",-    50,"7,183","1,179",982,,"11,177",781,106,646,293,,989,537,"1,605",175,220,
KIBWEZI,"33,820","27,902","9,449",-    132,"10,918","3,984","1,560",,"21,402","1,184",236,"1,291",396,,"1,582","1,597","3,302",445,367,
KILUNGU,"12,881","12,264",328,"-    3,882","11,953","6,415","2,679",,397,"8,065","1,342","1,141",706,,81,114,"3,520","2,831",62,
MAKINDU,"14,334","11,577","2,694",-    70,"6,083","1,205","1,189",,"8,944",476,123,694,203,,468,503,"1,434",152,70,
MAKUENI,"26,021","24,706","4,234",-    750,"22,675","7,769","5,789",,"6,568","9,637",755,"2,016","1,126",,566,912,"5,365","1,871",214,
MBOONI EAST,"21,461","20,622","5,991",-    193,"18,669","4,005","3,983",,"8,710","6,192",332,"1,164",713,,"1,174",624,"3,330",933,194,
MBOONI WEST,"22,069","21,181","1,445","-    4,472","20,651","9,076","5,390",,"1,370","11,744","1,731","2,416","1,656",,417,376,"6,850","2,943",118,
MUKAA,"22,133","20,838","1,866","-    2,397","19,847","6,186","4,042",,"2,658","5,720",786,"1,217",847,,454,420,"2,893","1,187",46,
NZAUI,"25,146","23,621","3,395",-    382,"19,993","5,809","4,285",,"8,574","5,688",971,"2,321",833,,876,804,"5,286","1,749",273,
NYANDARUA,"140,854","114,595","1,793","-    119,679","59,481","1,038","3,788","2,719","4,241","3,956","64,651","3,099","43,964",,,,"74,358","3,636",,
KINANGOP,"23,636","13,568",35,"-20,282","3,784",40,84,85,971,83,"15,861",118,"4,652",,,,"12,808",80,,
NYANDARUA SOUTH,"20,400","15,798",66,"-    18,318","5,585",35,97,447,379,64,"13,047",133,"8,531",,,,"13,258",90,,
MIRANGINE,"14,488","12,400",62,"-    13,109","4,788",53,88,47,396,295,"6,571",223,"5,355",,,,"8,003",64,,
KIPIPIRI,"21,702","17,870",108,"-    18,566","10,808",63,490,642,533,525,"10,197",458,"7,854",,,,"11,311",423,,
NYANDARUA CENTRAL,"16,111","14,729",203,"-    13,376","9,967",59,328,228,429,550,"6,477",591,"5,325",,,,"8,579",334,,
NYANDARUA WEST,"21,047","18,616",129,"-    16,949","9,871",55,450,534,925,720,"6,391",374,"5,685",,,,"9,870",868,,
NYANDARUA NORTH,"23,468","21,613","1,190","-    19,077","14,678",733,"2,251",736,608,"1,719","6,106","1,201","6,562",,,,"10,529","1,777",,
ABERDARE NATIONAL PA,2,1,,-2,,,,,,,1,1,,,,,,,,
NYERI,"164,229","138,426","3,354",,"108,919","125,889","13,597","34,618","2,536","2,311","81,891","45,430","12,864","27,917",,,"71,714","23,622",,
TETU,"20,387","18,703",177,,"16,979","17,212","1,576","6,022",98,258,"14,230","6,799","1,781","3,421",,,"12,240","3,769",,
KIENI EAST,"23,138","17,784",813,,"19,154","17,620",477,"2,658",570,647,"2,222","7,932","1,876","3,518",,,"7,667","2,154",,
KIENI WEST,"21,942","18,569","1,296",,"18,163","16,912",532,"2,522","1,342",379,"1,987","5,527","1,673","7,839",,,"7,190","1,596",,
MATHIRA EAST,"20,473","15,719",123,,"9,506","13,036","1,696","3,659",74,275,"12,612","7,727","1,431","2,717",,,"9,847","4,137",,
