County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,Don't Know,Not Stated
Male,"56,380","7,304","35,718","9,972","1,948","1,085",96,,229,28
Female,"56,684","6,792","35,597","10,909","2,435",640,78,1,209,23
IGEMBE SOUTH,"120,462","14,868","73,524","23,080","5,798","2,504",166,11,455,56
Male,"59,789","7,741","36,688","10,857","2,612","1,504",86,7,264,30
Female,"60,668","7,127","36,831","12,223","3,186","1,000",80,4,191,26
IMENTI NORTH,"151,474","10,697","70,066","44,188","17,213","8,657",194,4,401,54
Male,"75,696","5,456","35,851","21,352","7,878","4,824",68,3,230,34
Female,"75,774","5,240","34,214","22,834","9,335","3,833",126,1,171,20
IMENTI SOUTH,"176,990","13,879","90,810","51,199","14,146","6,261",255,13,410,17
Male,"89,508","7,237","46,695","25,054","6,767","3,423",85,4,235,8
Female,"87,477","6,642","44,111","26,145","7,379","2,838",169,9,175,9
MERU CENTRAL,"113,818","8,719","63,531","29,525","8,443","3,009",196,6,339,50
Male,"58,082","4,474","33,098","14,338","4,192","1,682",68,2,204,24
Female,"55,733","4,245","30,432","15,185","4,251","1,327",128,4,135,26
TIGANIA CENTRAL,"81,247","8,747","53,256","14,245","3,079","1,510",112,1,294,3
Male,"40,888","4,431","26,803","6,944","1,531",955,62,1,159,2
Female,"40,359","4,316","26,453","7,301","1,548",555,50,,135,1
TIGANIA EAST,"52,912","5,440","33,082","10,402","2,422","1,235",51,,225,55
Male,"26,146","2,754","16,106","5,139","1,176",788,23,,131,29
Female,"26,764","2,686","16,974","5,263","1,246",447,28,,94,26
TIGANIA WEST,"112,439","10,323","70,567","22,853","5,365","2,812",157,2,346,14
Male,"55,657","5,317","34,616","10,952","2,669","1,814",65,1,218,5
Female,"56,780","5,006","35,950","11,900","2,696",998,92,1,128,9
MERU NATIONAL PARK,279,12,58,135,65,9,,,,
Male,210,7,38,111,50,4,,,,
Female,69,5,20,24,15,5,,,,
MT. KENYA FOREST,357,4,260,71,15,6,,,1,
Male,313,3,230,61,14,4,,,1,
Female,44,1,30,10,1,2,,,,
THARAKA-NITHI,"324,735","28,201","177,042","82,656","23,374","11,607",581,8,"1,195",71
Male,"162,637","14,486","88,849","40,581","11,030","6,740",230,3,680,38
Female,"162,093","13,715","88,190","42,073","12,344","4,867",351,5,515,33
IGAMBANG'OMBE,"43,160","4,516","26,537","8,771","2,206",831,93,,191,15
Male,"21,790","2,357","13,398","4,319","1,059",508,30,,110,9
Female,"21,369","2,159","13,138","4,452","1,147",323,63,,81,6
MAARA,"100,251","6,696","52,442","29,188","8,031","3,425",135,3,318,13
Male,"50,814","3,481","27,006","14,329","3,837","1,906",50,1,198,6
